,url,top-rank,title,artist
105,https://open.spotify.com/track/4XyKoSEWrkQjI4AekJYWNx,85,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu, Neha Kakkar, Mellowd"
106,https://open.spotify.com/track/6yzxDlblhlYBepcieip20S,50,Jannat,B Praak
107,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC,46,Cradles,Sub Urban
108,https://open.spotify.com/track/1q7W78ZYL9iqyYeVONU2hg,30,Kamaal,"Badshah, Uchana Amit"
109,https://open.spotify.com/track/0UZLaEOSIc5kg0cc7eszqC,51,Manjha,Vishal Mishra
110,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,111,Pain 1993 (with Playboi Carti),Drake
111,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,1,7 rings,Ariana Grande
112,https://open.spotify.com/track/2TbCdbFzs2xO2nzasn0Qvw,32,"Don't Be Shy Again (From ""Bala"")","Sachin-Jigar, Badshah, Shalmali Kholgade, Gurdeep Mehendi"
113,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12,10,Teri Mitti,"Arko, B Praak"
114,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC,41,Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal"
115,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,42,rockstar (feat. 21 Savage),Post Malone
116,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,69,SICKO MODE,Travis Scott
117,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,32,Let Me Down Slowly,Alec Benjamin
118,https://open.spotify.com/track/34ppgPuSUgKIqUIBT26ulf,55,Saari Ki Saari 2.0,"Darshan Raval, Asees Kaur"
119,https://open.spotify.com/track/2lyQcindisAuoACOSCMd95,98,Tutt Chali Yaari,Maninder Buttar
120,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR,11,Paagal,Badshah
121,https://open.spotify.com/track/6IwZzHNNjiNm2efYesPOjx,73,"Tujhe Kitna Chahein Aur (Film Version) [From ""Kabir Singh""]",Jubin Nautiyal
122,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq,17,Yaari,"Nikk, Avneet Kaur"
123,https://open.spotify.com/track/5RHCtCi4k67doox07JmHTf,16,Chandigarh Mein,"Badshah, Harrdy Sandhu, Lisa Mishra, Asees Kaur"
124,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw,9,The Hook Up Song,"Vishal-Shekhar, Neha Kakkar, Shekhar Ravjiani"
125,https://open.spotify.com/track/2si0ZNx4yRbggTvrIom8A2,56,Paniyon Sa,"Atif Aslam, Tulsi Kumar, Rochak Kohli"
126,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,121,Lose Control,"MEDUZA, Becky Hill, Goodboys"
127,https://open.spotify.com/track/0TaL0jvsvRwm17IcGNZkpe,48,Boht Tej,"Badshah, Fotty Seven"
128,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,113,I Don't Care (with Justin Bieber),Ed Sheeran
129,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,10,Godzilla (feat. Juice WRLD),Eminem
130,https://open.spotify.com/track/1MhHomaXgrPMBroXkpWSSa,60,Valentine's Mashup 2019,"Amrita Singh, Ankit Tiwari, Asees Kaur, Ash King, Atif Aslam, Badshah, Dhvani Bhanushali, Guru Randhawa, Himesh Reshammiya, Jubin Nautiyal, Karan Sehmbi, Neha Kakkar, Palak Muchhal, Sachin-Jigar, Shruti Pathak, Sunidhi Chauhan, Tony Kakkar, Aman Hayer, Bappi Lahiri, Goldboy, Gourov-Roshin, Haji Springer, Harsh Upadhyay, Mithoon, Rajat Nagpal, Rochak Kohli, Sandesh Shandilya, Sanjeev Darshan, Tanishk Bagchi, Kedrock, Sd Style"
131,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,15,Happier,"Marshmello, Bastille"
132,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU,20,Chal Bombay,DIVINE
133,https://open.spotify.com/track/4QnC1bIaMSfDQvF4XDhV5M,28,Boyfriend,Selena Gomez
134,https://open.spotify.com/track/1CM4rFDU9q4EoLy2K44qE6,21,"Naah Goriye (From ""Bala"")","B Praak, Harrdy Sandhu, Swasti Mehul"
135,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,23,In Your Eyes,The Weeknd
136,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,86,Let Me Love You,"DJ Snake, Justin Bieber"
137,https://open.spotify.com/track/6L4QbsQrP9ZiZdz9SfOSGV,97,Yeh Dooriyan,"Pritam, Mohit Chauhan"
138,https://open.spotify.com/track/64RkEV5b7bG697vhIPMlrl,61,Sage,Ritviz
139,https://open.spotify.com/track/6shPaz0rzOAGatiY6X6zLQ,90,"Ek Zindagi (From ""Angrezi Medium"")","Taniskaa Sanghvi, Sachin-Jigar"
140,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,67,Sunday Best,Surfaces
141,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c,71,Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj"
142,https://open.spotify.com/track/7Jo4yv6Iiwxla5z10lE1L9,28,"Sip Sip 2.0 (From ""Street Dancer 3D"")","Garry Sandhu, Jasmine Sandlas, Tanishk Bagchi"
143,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,18,HIGHEST IN THE ROOM,Travis Scott
144,https://open.spotify.com/track/0a6zRnrjmaOcqsEIFkXIhw,92,Khaab,Akhil
145,https://open.spotify.com/track/5x3K3Ld54TtkYKdQvrFOV3,23,"Morni Banke (From ""Badhaai Ho"")","Guru Randhawa, Neha Kakkar"
146,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,16,Girls Like You (feat. Cardi B),Maroon 5
147,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq,68,Samjhawan,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal"
